Мешок с Броней (Обычный),Erlon,2,False
🟡Золото,Орех,2550,False
Посох Ученика,Ильяз,1,True
Эликсир Силы,Ильяз,6,False
Эликсир Мудрости,Ильяз,5,False
Эликсир Силы,Чак,2,False
Эликсир Защиты,Чак,1,False
💎Алмаз,Орех,681,False
Эликсир Выносливости,Ильяз,5,False
💎Алмаз,Ильяз,561,False
Мантия Ученика,Ильяз,1,True
💎Алмаз,Erlon,561,False
Деревянный Кинжал,Erlon,1,False
Потрепанный Кожанный Доспех,Erlon,1,False
🟡Золото,Чак,836,False
Эликсир Мудрости,Чак,10,False
🟡Золото,waca,142,False
Мешок с Ресурсами (Обычный),waca,35,False
Эликсир Силы,waca,6,False
Посох Ученика,waca,1,False
Мантия Ученика,waca,1,False
Талисман Атаки,waca,1,False
Эликсир Выносливости,Чак,7,False
Мешок с Броней (Обычный),Чак,2,False
Эликсир Выносливости,Орех,5,False
Эликсир Защиты,Орех,8,False
🟡Золото,Erlon,2313,False
Эликсир Силы,Орех,1,False
Ткань,Орех,12,False
Древесина,Орех,8,False
Кожа,Орех,9,False
Мешок с Ресурсами (Обычный),Чак,3,False
Железо,Орех,9,False
Потрепанный Посох,Чак,1,True
Потрепанная Мантия,Чак,1,True
🟡Золото,Баклажан,29,False
Мешок с Оружием (Обычный),Erlon,3,False
Мешок с Ресурсами (Обычный),Баклажан,11,False
Эликсир Силы,Erlon,3,False
Мешок с Ресурсами (Обычный),Erlon,166,False
🟡Золото,Ильяз,2111,False
💎Алмаз,Чак,110561,False
Мешок с Рецептами (Обычный),Erlon,2,False
Дубина Ученика,Орех,1,True
Эликсир Защиты,Erlon,12,False
Эликсир Мудрости,Erlon,8,False
Эликсир Выносливости,Erlon,12,False
Тяжелая Броня Ученика,Орех,1,True
Эликсир Мудрости,Орех,5,False
